Class,Rank_group,Title Length,Country_Count,Author_Count,Institution_Count,Journal_encodeder,Publisher_encodeder,CIT_Avg.
0,1,15,2,9,3,21,94,16.66666667
0,1,7,2,16,4,21,94,36.66666667
0,0,10,2,4,4,138,5,1.166666667
0,0,11,1,6,3,138,5,9.333333333
0,2,9,5,12,9,163,9,5
0,2,19,1,4,1,163,9,3.166666667
0,6,7,1,5,1,197,30,5
0,6,18,1,3,3,197,30,0.833333333
0,4,13,3,5,4,158,5,3
0,4,16,1,4,3,158,5,6.333333333
0,7,13,1,10,2,191,82,1.333333333
0,7,12,1,5,1,191,82,1.5
0,1,9,3,8,3,325,98,11
0,1,13,1,3,3,325,98,1
0,8,13,1,12,2,324,57,6.333333333
0,8,16,1,3,2,324,57,1.166666667
0,6,34,2,8,2,140,5,1.5
0,6,20,1,3,1,140,5,7.666666667
0,6,13,1,7,4,219,29,1.166666667
0,6,9,1,4,3,219,29,0.5
0,1,8,2,12,7,19,94,5.5
0,1,10,1,8,4,12,5,4.166666667
0,2,19,2,7,2,175,2,10.5
0,0,12,1,5,1,112,5,1.666666667
0,9,17,1,7,2,41,39,1.833333333
0,9,12,1,2,1,280,66,0.666666667
0,1,12,2,10,5,75,30,3.166666667
0,0,13,4,7,5,269,30,6.833333333
0,2,12,1,7,2,120,34,8.666666667
0,2,13,2,3,2,110,34,3.333333333
0,7,17,1,2,2,204,5,0.5
0,0,13,2,3,3,214,54,0.166666667
0,1,18,1,14,5,74,62,14.16666667
0,1,13,2,6,3,11,5,3.833333333
0,2,14,2,6,2,210,30,1
0,0,11,1,5,1,160,51,1.166666667
0,8,24,1,6,3,125,30,0.833333333
0,0,7,1,1,1,136,44,0
0,9,15,1,9,2,254,46,1.166666667
0,1,12,2,6,2,250,5,22.5
0,1,10,1,2,1,262,65,4.5
0,2,18,1,5,3,70,34,17.83333333
0,8,15,1,5,2,79,73,5.666666667
0,2,18,1,5,2,69,34,2.166666667
0,7,13,1,5,2,294,57,0.833333333
0,7,16,3,8,4,166,93,1.666666667
0,3,13,2,5,5,224,5,2.333333333
0,9,9,1,3,1,274,72,1.5
0,3,7,1,2,1,205,5,1.5
0,5,14,1,12,5,123,37,6.166666667
0,0,17,2,5,2,207,46,3.5
0,1,21,1,4,2,303,94,7
0,5,15,1,4,2,311,30,6.5
0,0,15,2,6,4,185,30,2.166666667
0,0,10,1,7,3,149,28,2
0,1,10,1,8,3,90,5,1.166666667
0,4,13,2,6,6,36,16,8
0,9,14,1,7,1,306,30,2.166666667
0,0,15,4,10,6,315,34,1.5
0,4,9,1,8,2,153,77,4.333333333
0,3,17,1,4,4,96,34,6.666666667
0,6,9,1,4,1,95,30,5
0,7,18,1,9,1,226,34,2.166666667
0,9,12,1,3,1,203,5,0.833333333
0,6,14,1,9,3,267,77,4.833333333
0,2,9,1,6,2,88,72,6.833333333
0,3,18,1,7,4,7,5,1.5
0,1,15,1,10,2,249,34,15.83333333
0,5,19,1,3,1,37,16,1.833333333
0,2,15,1,7,3,56,34,11.83333333
0,0,14,1,6,5,198,30,2.166666667
0,0,19,1,6,1,101,72,3.5
0,3,24,4,83,10,323,34,1.833333333
0,6,10,2,5,2,292,34,8.666666667
0,0,18,2,11,6,32,87,1.166666667
0,0,9,1,7,2,179,82,2.666666667
0,4,10,1,8,1,187,72,2.166666667
0,2,14,1,2,2,195,30,10.33333333
0,7,10,1,1,1,98,30,7.166666667
0,4,14,1,6,2,9,5,7.333333333
0,1,13,2,5,2,18,94,15.66666667
0,7,10,1,2,2,304,72,0.5
0,9,9,1,10,2,102,5,1.166666667
0,0,12,2,3,2,87,30,0.166666667
0,0,12,1,9,1,31,52,1.5
0,1,17,2,4,2,16,3,4
0,5,16,1,3,2,30,32,2.5
0,5,15,1,4,1,44,5,1
0,0,16,1,2,1,189,82,0.666666667
0,7,8,2,7,2,251,57,4.666666667
0,0,22,1,6,4,52,76,0
0,2,9,1,6,2,232,34,1
0,6,13,1,6,1,228,34,6.5
0,4,10,1,5,2,115,35,1.666666667
0,5,13,1,7,3,310,30,8
0,0,9,1,8,4,53,34,2.5
0,2,7,1,4,1,139,32,3
0,0,9,1,6,4,182,42,0.5
0,4,17,2,6,4,178,32,11
0,3,16,3,2,3,305,34,6.666666667
0,0,9,1,7,2,284,30,3.333333333
0,3,16,2,9,6,167,93,1
0,0,11,1,6,2,314,34,1.333333333
0,8,5,1,5,1,134,45,0.5
0,8,16,2,6,2,206,46,1.166666667
0,7,9,1,2,2,193,2,1
0,7,11,1,3,2,132,45,3.333333333
0,4,9,1,4,1,261,81,9.333333333
0,0,11,1,5,3,237,57,1.5
0,7,18,1,2,1,217,18,1.333333333
0,1,16,1,2,1,135,45,0.5
0,0,15,1,10,3,184,30,2.166666667
0,6,16,1,10,5,287,7,0.5
0,0,20,1,13,5,239,88,2.666666667
0,7,11,1,6,5,293,51,0.333333333
1,0,14,1,1,2,194,215,0
1,0,9,1,3,2,194,215,0
1,0,12,1,4,2,194,215,0
1,0,18,1,3,2,194,215,0
1,0,15,1,5,2,194,215,0
1,0,14,1,2,2,194,215,0
1,0,9,1,2,1,194,215,0
1,0,14,1,1,2,194,215,0
1,0,14,1,2,3,194,215,0
1,0,13,1,2,2,194,215,0
1,0,16,1,2,3,194,215,0
1,0,10,1,3,2,194,215,0
1,0,7,1,2,2,194,215,0
1,0,8,1,1,1,194,215,0
1,0,14,1,1,2,194,215,0
1,0,14,1,2,2,194,215,0
1,0,11,1,2,2,194,215,0
1,0,13,1,2,2,194,215,0
1,0,6,1,2,2,194,215,0
1,0,9,1,1,1,194,215,0
1,0,10,1,1,2,194,215,0
1,0,16,1,1,1,194,215,0
1,0,10,1,4,2,180,215,0
1,0,9,1,6,3,180,215,0
1,0,14,1,6,2,180,215,0
1,0,12,1,2,3,180,215,0
1,0,12,1,3,2,180,215,0
1,0,11,1,5,3,180,215,0
1,0,10,1,4,2,180,215,0
1,0,28,1,4,3,180,215,0
1,0,11,1,2,2,180,215,0
1,0,10,1,3,3,180,215,0
1,0,9,1,3,2,180,215,0
1,0,12,1,5,2,180,215,0
1,0,12,1,4,2,180,215,0
1,0,14,1,5,2,180,215,0
1,0,17,1,6,2,180,215,0
1,0,15,1,6,3,180,215,0
1,0,12,1,3,2,180,215,0
1,0,13,1,6,2,180,215,0
1,0,16,1,5,2,180,215,0
1,0,13,1,7,3,3473,220,1
1,0,9,1,1,2,3473,220,0.5
1,0,19,1,2,3,3473,220,1
1,0,12,1,4,1,3473,220,4
1,0,9,1,1,2,3473,220,0
1,0,14,1,4,3,3473,220,0.5
1,0,7,1,5,2,3473,220,0
1,0,13,1,1,2,3473,220,0
1,0,13,1,1,2,3473,220,1.5
1,0,5,1,4,1,3473,220,3
1,0,23,1,1,1,3473,220,4
1,0,13,1,1,2,3473,220,1
1,0,9,1,2,2,3473,220,0.5
1,0,22,1,1,2,3473,220,0
1,0,7,1,4,1,3473,220,0
1,0,18,1,10,2,4279,384,4.8
1,0,21,3,10,6,4279,384,0
1,0,18,1,5,3,4279,384,15
1,0,13,1,7,1,4279,384,9.333333333
1,0,10,1,8,1,4279,384,9
1,0,25,1,7,3,4279,384,7.5
1,0,18,2,11,5,4279,384,7
1,0,15,3,8,7,4279,384,0
1,0,15,2,9,6,4279,384,9
1,0,12,1,3,2,4279,384,1
1,0,20,1,10,2,4279,384,3
1,0,11,1,2,2,4279,384,25
1,0,14,1,6,2,1429,211,2
1,0,16,1,3,3,1429,211,0
1,0,10,1,2,3,1429,211,1
1,0,10,3,4,4,1429,211,15
1,0,11,1,1,2,1429,211,0
1,0,16,4,8,8,1429,211,37
1,0,19,1,2,2,1429,211,0.5
1,0,14,1,2,2,1429,211,4
1,0,16,1,4,1,1429,211,0
1,0,15,1,6,4,1436,211,1
1,0,17,1,7,2,1436,211,0
1,0,15,1,4,3,1436,211,1
1,0,19,1,4,4,1436,211,0
1,0,11,3,6,4,1436,211,1
1,0,13,1,3,2,1436,211,0
1,0,19,1,7,3,1436,211,1
1,5,19,1,3,1,2801,467,5.5
1,5,15,1,2,2,2801,467,1
1,5,9,2,6,5,2801,465,1.5
1,5,11,1,1,1,2801,467,0
1,5,11,1,2,1,2801,467,6.5
1,5,20,2,3,3,2801,467,1
1,5,9,1,3,3,2801,465,0
1,0,15,1,2,3,3170,211,0
1,0,16,1,3,3,3170,211,2
1,0,8,1,1,1,3170,211,1
1,0,14,1,4,2,3170,211,1
1,0,20,1,2,2,3170,211,0
1,0,19,2,2,3,3170,211,8.5
1,0,11,1,2,1,3170,211,1
1,0,13,1,10,2,1914,211,2
1,0,21,1,4,2,1914,211,1.5
1,0,17,1,5,2,1914,211,0.5
1,0,16,1,8,2,1914,211,3
1,0,25,1,6,2,1914,211,0
1,0,11,1,8,4,1914,211,1
1,0,15,1,6,1,1914,211,0
1,0,19,1,2,3,5354,211,1
1,0,19,1,3,3,5354,211,1
1,0,19,1,1,2,5354,211,0
1,0,15,1,1,2,5354,211,1
1,0,14,1,1,2,5354,211,1
1,0,12,1,2,3,5354,211,1.5
1,0,11,1,8,2,5354,211,1
1,0,17,1,3,1,176,215,0
1,0,15,1,1,2,176,215,0
1,0,14,1,2,6,176,215,0
1,0,9,1,2,3,176,215,0
1,0,10,1,2,2,176,215,0
1,0,6,1,1,2,176,215,0
1,0,14,1,3,3,176,215,0
1,0,18,2,1,3,715,465,0
1,0,16,1,2,2,715,465,0
1,0,11,2,4,5,715,465,4
1,0,17,1,2,2,715,465,0
1,0,18,1,2,2,715,465,0
1,0,15,1,1,2,715,465,0
1,0,16,2,8,4,5059,57,12.71428571
1,0,16,2,9,3,5059,57,3.111111111
1,0,17,1,5,2,5059,176,3.615384615
1,0,11,1,9,4,5059,57,3.090909091
1,0,13,1,3,2,5059,57,7.6
1,0,11,1,4,2,5059,57,3.764705882
1,0,14,1,1,1,2262,87,0
1,0,12,1,1,1,2262,87,0
1,0,17,1,1,1,2262,87,0
1,0,10,1,2,2,2262,87,0
1,0,14,1,1,1,2262,87,0
